target,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
0,life,solid cotton blend collar neck womens a-line dress - indigo,"Size:Large,Medium,Small,X-Large,X-Small",99,849,50% off,Westernwear-Women
1,only,polyester peter pan collar womens blouson dress - yellow,"Size:34,36,38,40",3499,2449,30% off,Westernwear-Women
2,fratini,solid polyester blend wide neck womens regular top - off white,"Size:Large,X-Large,XX-Large",1199,599,50% off,Westernwear-Women
3,zink london,stripes polyester sweetheart neck womens dress - black,"Size:Large,Medium,Small,X-Large",2299,1379,40% off,Westernwear-Women
4,life,regular fit regular length denim womens jeans - stone,"Size:26,28,30,32,34,36",1699,849,50% off,Westernwear-Women
5,kraus,wide ankle length cotton womens jeans - light blue,"Size:26,28,30,32,34",1795,1615,10% off,Westernwear-Women
6,life,printed cotton blend collared womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
7,fratini,embroidered wide neck polyester womens regular top - blush,Size:XX-Large,1299,649,50% off,Westernwear-Women
8,rare,floral polyester v neck womens flared dress - navy,"Size:Large,Medium,Small,X-Large",2099,839,60% off,Westernwear-Women
9,rare,checks cotton boat neck womens regular top - black,"Size:Medium,Small,X-Large",1499,599,60% off,Westernwear-Women
10,life,solid square neck cotton womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear-Women
11,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36",999,499,50% off,Westernwear-Women
12,life,printed blended round neck womens shift dress - orange,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear-Women
13,life,printed je ey round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",599,299,50% off,Westernwear-Women
14,life,printed crepe square neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
15,life,solid cotton collar neck womens shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear-Women
16,life,solid cotton lycra round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Small",599,299,50% off,Westernwear-Women
17,life,printed cotton collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
18,van heusen,solid cotton v neck womens formal shirt - maroon,"Size:Large,Small,X-Small",1999,799,60% off,Westernwear-Women
19,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",1999,999,50% off,Westernwear-Women
20,fratini,solid round neck viscose womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear-Women
21,life,solid wide neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
22,Nan,Nan,Nan,1256,Nan,Nan,Westernwear-Women
23,stop,printed regular neck cotton womens formal shirt - ecru,"Size:Large,Medium,Small,X-Large,XX-Large",799,399,50% off,Westernwear-Women
24,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",1999,999,50% off,Westernwear-Women
25,zink london,floral viscose sweetheart neck womens dress - green,"Size:Medium,Small,X-Small,XX-Large",2799,1679,40% off,Westernwear-Women
0,life,printed viscose v neck womens regular woven top - off white,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear-Women
1,life,printed cotton blend v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
2,zink z,solid cotton blend v neck womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small",1236,1299,Nan,Westernwear-Women
3,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",1344,449,50% off,Westernwear-Women
4,life,printed cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1335,499,50% off,Westernwear-Women
5,life,embroidered viscose square neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small",1327,599,50% off,Westernwear-Women
6,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36,Medium",1319,849,50% off,Westernwear-Women
7,life,printed cotton lycra round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,X-Small",1310,349,50% off,Westernwear-Women
8,cover story,solid round neck cotton womens regular dress - dark brown,"Size:Large,Medium,Small,X-Large,X-Small",1302,1445,50% off,Westernwear-Women
9,infuse,printed square neck rayon womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1294,999,50% off,Westernwear-Women
10,fratini,printed polyester blend round neck womens a-line dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",1286,1799,Nan,Westernwear-Women
11,allen solly,solid rayon regular fit womens trouse  - black,"Size:26,28,30,32,34,36",1277,1039,20% off,Westernwear-Women
12,infuse,regular fit regular length cotton womens loungewear short set - pink,"Size:Large,Medium,Small,X-Small",1269,359,60% off,Westernwear-Women
13,van heusen,solid polyester collar neck womens shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",1261,999,41% off,Westernwear-Women
14,life,solid viscose round neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",1253,499,50% off,Westernwear-Women
15,cover story,printed polyester round neck womens dress - black,"Size:Medium,Small,X-Large,X-Small",1244,3143,30% off,Westernwear-Women
16,life,printed collar neck polyester womens regular top - navy,"Size:Large,Medium,Small,X-Large,X-Small",1236,499,50% off,Westernwear-Women
17,zink london,lace polyester round neck womens dress - green,"Size:Large,Medium,Small,X-Large",1228,1979,40% off,Westernwear-Women
18,stop,solid viscose v-neck womens regular top - mustard,"Size:Large,Medium,Small,XX-Large",1219,499,50% off,Westernwear-Women
19,fratini,printed v-neck polyester womens regular dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",1211,949,50% off,Westernwear-Women
20,rare,floral polyester off shoulder womens flared dress - black,"Size:Large,Medium,Small,X-Large",1203,854,55% off,Westernwear-Women
21,life,printed viscose wide neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1195,649,50% off,Westernwear-Women
22,Nan,Nan,Nan,1186,Nan,Nan,Westernwear-Women
23,altlife,printed skinny fit cotton blend womens active wear track pants - grey,"Size:28,30,32,34,36",1178,499,50% off,Westernwear-Women
24,stop,printed regular neck cotton womens formal shirt - blue denim,"Size:Medium,Small,X-Small,XX-Large",1170,449,50% off,Westernwear-Women
25,life,regular fit regular length denim womens jeans - olive,"Size:26,28,30,32,34,36",1162,999,50% off,Westernwear-Women
0,rare,solid polyester round neck womens a-line dress - navy,"Size:Large,Medium,Small,X-Large",1153,674,55% off,Westernwear-Women
1,zink london,solid polyester v neck womens top - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1145,839,40% off,Westernwear-Women
2,life,printed cotton blend collar neck womens t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small",1137,499,50% off,Westernwear-Women
3,madame,printed polyester blend square neck womens dress - green,"Size:Large,Medium,Small,X-Large,XX-Large",1129,1619,40% off,Westernwear-Women
